EF|genitive reflexive
ÞF|accusative reflexive
ÞGF|dative reflexive
EST|superlative
FST|positive
MST|comparative
MST2|comparative variant 2
EFET|genitive singular indefinite
EFET2|genitive singular indefinite variant 2
EFET3|genitive singular indefinite variant 3
EFETgr|genitive singular definite
EFETgr2|genitive singular definite variant 2
EFETgr3|genitive singular definite variant 3
EFFT|genitive plural indefinite
EFFT2|genitive plural indefinite variant 2
EFFTgr|genitive plural definite
EFFTgr2|genitive plural definite variant 2
ESB-HK-EFET|superlative indefinite neuter genitive singular
ESB-HK-EFET2|superlative indefinite neuter genitive singular variant 2
ESB-HK-EFFT|superlative indefinite neuter genitive plural
ESB-HK-EFFT2|superlative indefinite neuter genitive plural variant 2
ESB-HK-NFET|superlative indefinite neuter nominative singular
ESB-HK-NFET2|superlative indefinite neuter nominative singular variant 2
ESB-HK-NFFT|superlative indefinite neuter nominative plural
ESB-HK-NFFT2|superlative indefinite neuter nominative plural variant 2
ESB-HK-ÞFET|superlative indefinite neuter accusative singular
ESB-HK-ÞFET2|superlative indefinite neuter accusative singular variant 2
ESB-HK-ÞFFT|superlative indefinite neuter accusative plural
ESB-HK-ÞFFT2|superlative indefinite neuter accusative plural variant 2
ESB-HK-ÞGFET|superlative indefinite neuter dative singular
ESB-HK-ÞGFET2|superlative indefinite neuter dative singular variant 2
ESB-HK-ÞGFFT|superlative indefinite neuter dative plural
ESB-HK-ÞGFFT2|superlative indefinite neuter dative plural variant 2
ESB-KK-EFET|superlative indefinite masculine genitive singular
ESB-KK-EFET2|superlative indefinite masculine genitive singular variant 2
ESB-KK-EFFT|superlative indefinite masculine genitive plural
ESB-KK-EFFT2|superlative indefinite masculine genitive plural variant 2
ESB-KK-NFET|superlative indefinite masculine nominative singular
ESB-KK-NFET2|superlative indefinite masculine nominative singular variant 2
ESB-KK-NFFT|superlative indefinite masculine nominative plural
ESB-KK-NFFT2|superlative indefinite masculine nominative plural variant 2
ESB-KK-ÞFET|superlative indefinite masculine accusative singular
ESB-KK-ÞFET2|superlative indefinite masculine accusative singular variant 2
ESB-KK-ÞFFT|superlative indefinite masculine accusative plural
ESB-KK-ÞFFT2|superlative indefinite masculine accusative plural variant 2
ESB-KK-ÞGFET|superlative indefinite masculine dative singular
ESB-KK-ÞGFET2|superlative indefinite masculine dative singular variant 2
ESB-KK-ÞGFFT|superlative indefinite masculine dative plural
ESB-KK-ÞGFFT2|superlative indefinite masculine dative plural variant 2
ESB-KVK-EFET|superlative indefinite feminine genitive singular
ESB-KVK-EFET2|superlative indefinite feminine genitive singular variant 2
ESB-KVK-EFFT|superlative indefinite feminine genitive plural
ESB-KVK-EFFT2|superlative indefinite feminine genitive plural variant 2
ESB-KVK-NFET|superlative indefinite feminine nominative singular
ESB-KVK-NFET2|superlative indefinite feminine nominative singular variant 2
ESB-KVK-NFFT|superlative indefinite feminine nominative plural
ESB-KVK-NFFT2|superlative indefinite feminine nominative plural variant 2
ESB-KVK-ÞFET|superlative indefinite feminine accusative singular
ESB-KVK-ÞFET2|superlative indefinite feminine accusative singular variant 2
ESB-KVK-ÞFFT|superlative indefinite feminine accusative plural
ESB-KVK-ÞFFT2|superlative indefinite feminine accusative plural variant 2
ESB-KVK-ÞGFET|superlative indefinite feminine dative singular
ESB-KVK-ÞGFET2|superlative indefinite feminine dative singular variant 2
ESB-KVK-ÞGFFT|superlative indefinite feminine dative plural
ESB-KVK-ÞGFFT2|superlative indefinite feminine dative plural variant 2
EVB-HK-EFET|superlative definite neuter genitive singular
EVB-HK-EFET2|superlative definite neuter genitive singular variant 2
EVB-HK-EFFT|superlative definite neuter genitive plural
EVB-HK-EFFT2|superlative definite neuter genitive plural variant 2
EVB-HK-NFET|superlative definite neuter nominative singular
EVB-HK-NFET2|superlative definite neuter nominative singular variant 2
EVB-HK-NFFT|superlative definite neuter nominative plural
EVB-HK-NFFT2|superlative definite neuter nominative plural variant 2
EVB-HK-ÞFET|superlative definite neuter accusative singular
EVB-HK-ÞFET2|superlative definite neuter accusative singular variant 2
EVB-HK-ÞFFT|superlative definite neuter accusative plural
EVB-HK-ÞFFT2|superlative definite neuter accusative plural variant 2
EVB-HK-ÞGFET|superlative definite neuter dative singular
EVB-HK-ÞGFET2|superlative definite neuter dative singular variant 2
EVB-HK-ÞGFFT|superlative definite neuter dative plural
EVB-HK-ÞGFFT2|superlative definite neuter dative plural variant 2
EVB-KK-EFET|superlative definite masculine genitive singular
EVB-KK-EFET2|superlative definite masculine genitive singular variant 2
EVB-KK-EFFT|superlative definite masculine genitive plural
EVB-KK-EFFT2|superlative definite masculine genitive plural variant 2
EVB-KK-NFET|superlative definite masculine nominative singular
EVB-KK-NFET2|superlative definite masculine nominative singular variant 2
EVB-KK-NFFT|superlative definite masculine nominative plural
EVB-KK-NFFT2|superlative definite masculine nominative plural variant 2
EVB-KK-ÞFET|superlative definite masculine accusative singular
EVB-KK-ÞFET2|superlative definite masculine accusative singular variant 2
EVB-KK-ÞFFT|superlative definite masculine accusative plural
EVB-KK-ÞFFT2|superlative definite masculine accusative plural variant 2
EVB-KK-ÞGFET|superlative definite masculine dative singular
EVB-KK-ÞGFET2|superlative definite masculine dative singular variant 2
EVB-KK-ÞGFFT|superlative definite masculine dative plural
EVB-KK-ÞGFFT2|superlative definite masculine dative plural variant 2
EVB-KVK-EFET|superlative definite feminine genitive singular
EVB-KVK-EFET2|superlative definite feminine genitive singular variant 2
EVB-KVK-EFFT|superlative definite feminine genitive plural
EVB-KVK-EFFT2|superlative definite feminine genitive plural variant 2
EVB-KVK-NFET|superlative definite feminine nominative singular
EVB-KVK-NFET2|superlative definite feminine nominative singular variant 2
EVB-KVK-NFFT|superlative definite feminine nominative plural
EVB-KVK-NFFT2|superlative definite feminine nominative plural variant 2
EVB-KVK-ÞFET|superlative definite feminine accusative singular
EVB-KVK-ÞFET2|superlative definite feminine accusative singular variant 2
EVB-KVK-ÞFFT|superlative definite feminine accusative plural
EVB-KVK-ÞFFT2|superlative definite feminine accusative plural variant 2
EVB-KVK-ÞGFET|superlative definite feminine dative singular
EVB-KVK-ÞGFET2|superlative definite feminine dative singular variant 2
EVB-KVK-ÞGFFT|superlative definite feminine dative plural
EVB-KVK-ÞGFFT2|superlative definite feminine dative plural variant 2
fn_HK_EFET|neuter genitive singular
fn_HK_EFFT|neuter genitive plural
